,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,SalePrice
341,20,RH,60.0,8400,Reg,Lvl,Inside,Gtl,SawyerW,1Fam,1Story,4,4,1950,1950,Gable,Wd Sdng,AsbShng,0.0,Fa,Other,CBlock,TA,No,Unf,0,Unf,721,721,Gd,Y,SBrkr,841,0,841,0,1,0,2,1,TA,4,0,CarPort,1950.0,Unf,1,294,N,250,0,24,WD,Normal,82000
342,90,RL,69.0,8544,Reg,Lvl,Inside,Gtl,NAmes,Duplex,1Story,3,4,1949,1950,Gable,Stucco,Stucco,340.0,TA,TA,Slab,TA,No,Unf,0,Unf,0,0,Fa,N,FuseA,1040,0,1040,0,2,0,2,2,TA,6,0,Detchd,1949.0,Unf,2,400,Y,0,0,0,WD,Normal,87500
343,120,RL,63.0,8849,IR1,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,616.0,Ex,TA,PConc,Ex,No,GLQ,28,Unf,1656,1684,Ex,Y,SBrkr,1684,0,1684,0,2,0,2,1,Ex,6,1,Attchd,2005.0,RFn,2,564,Y,495,72,0,WD,Normal,266000
344,160,RM,36.0,2592,Reg,Lvl,Inside,Gtl,MeadowV,TwnhsE,2Story,5,3,1976,1976,Gable,CemntBd,CmentBd,0.0,TA,TA,CBlock,Gd,No,Rec,129,Other,175,536,TA,Y,SBrkr,536,576,1112,0,1,1,3,1,TA,4,0,Attchd,1976.0,Unf,1,336,Y,182,0,0,WD,Normal,85000
345,50,RL,65.0,6435,Reg,Lvl,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,5,1939,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,972,972,Gd,Y,SBrkr,972,605,1577,0,1,0,3,1,Fa,6,1,Detchd,1939.0,Unf,1,312,Y,0,0,0,WD,Normal,140200
346,20,RL,69.0,12772,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,6,8,1960,1998,Hip,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,Mn,BLQ,498,Unf,460,958,TA,Y,SBrkr,958,0,958,0,1,0,2,1,TA,5,0,Attchd,1960.0,RFn,1,301,Y,0,0,0,WD,Normal,151500
347,20,RL,69.0,17600,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1960,1960,Gable,Wd Sdng,Wd Sdng,30.0,TA,TA,CBlock,TA,No,BLQ,1270,Unf,208,1478,Ex,Y,FuseA,1478,0,1478,1,2,0,3,1,TA,6,2,Attchd,1960.0,Unf,2,498,Y,0,40,0,WD,Normal,157500
348,160,RL,36.0,2448,Reg,Lvl,Inside,Gtl,NridgHt,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,106.0,Gd,TA,PConc,Gd,No,GLQ,573,Unf,191,764,Ex,Y,SBrkr,764,862,1626,1,2,1,2,1,Gd,6,0,BuiltIn,2003.0,RFn,2,474,Y,0,27,0,WD,Normal,154000
349,60,RL,56.0,20431,IR2,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,CemntBd,CmentBd,870.0,Ex,TA,PConc,Ex,No,GLQ,1410,Unf,438,1848,Ex,Y,SBrkr,1848,880,2728,1,2,1,4,1,Ex,10,2,Attchd,2006.0,Fin,3,706,Y,0,0,0,New,Partial,437154
350,120,RL,68.0,7820,IR1,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2007,2007,Hip,MetalSd,MetalSd,362.0,Ex,TA,PConc,Ex,No,Unf,0,Unf,1869,1869,Ex,Y,SBrkr,1869,0,1869,0,2,0,2,1,Ex,6,1,Attchd,2007.0,RFn,2,617,Y,210,54,0,New,Partial,318061
351,120,RL,69.0,5271,IR1,Low,Inside,Mod,ClearCr,1Fam,1Story,7,5,1986,1986,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,Gd,Gd,GLQ,1082,Unf,371,1453,Gd,Y,SBrkr,1453,0,1453,1,1,1,2,1,Gd,6,1,Attchd,1986.0,RFn,2,445,Y,0,80,0,WD,Abnorml,190000
352,50,RL,60.0,9084,Reg,Lvl,Inside,Gtl,Edwards,1Fam,1.5Fin,5,6,1941,1950,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,Mn,LwQ,236,Other,0,616,TA,N,SBrkr,616,495,1111,0,1,0,3,1,TA,5,0,Detchd,1941.0,Unf,1,200,Y,48,0,0,Other,Normal,95000
353,30,RM,60.0,8520,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1Story,6,8,1928,2003,Gable,VinylSd,VinylSd,0.0,TA,Gd,BrkTil,TA,No,Unf,0,Unf,624,624,Gd,Y,SBrkr,720,0,720,0,1,0,2,1,TA,5,0,Detchd,2005.0,Unf,2,484,Y,106,0,0,WD,Normal,105900
354,50,RL,60.0,8400,Reg,Bnk,Inside,Gtl,SWISU,1Fam,1.5Fin,6,5,1940,2000,Gable,Wd Sdng,MetalSd,0.0,TA,TA,CBlock,TA,No,LwQ,388,Unf,552,940,Ex,Y,SBrkr,1192,403,1595,0,1,0,2,1,TA,6,2,Attchd,1940.0,Unf,1,240,Y,0,0,108,WD,Normal,140000
355,20,RL,105.0,11249,IR2,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,6,5,1995,1995,Gable,VinylSd,VinylSd,0.0,Gd,Gd,PConc,Gd,No,ALQ,334,Other,322,1200,Ex,Y,SBrkr,1200,0,1200,1,2,0,3,1,Gd,6,0,Attchd,1995.0,RFn,2,521,Y,0,26,0,WD,Normal,177500
356,20,RL,69.0,9248,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,1Story,6,6,1992,1992,Gable,HdBoard,HdBoard,106.0,TA,TA,PConc,Gd,No,GLQ,560,Unf,598,1158,Gd,Y,SBrkr,1167,0,1167,1,2,0,3,1,Gd,6,0,Attchd,1992.0,RFn,2,400,Y,120,26,0,WD,Normal,173000
357,120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,MeadowV,TwnhsE,1Story,5,5,1976,1976,Gable,CemntBd,CmentBd,0.0,TA,TA,PConc,Gd,No,ALQ,874,Unf,268,1142,TA,Y,SBrkr,1142,0,1142,1,1,1,3,1,TA,6,1,Attchd,1976.0,Fin,2,528,Y,536,90,0,WD,Normal,134000
358,80,RL,92.0,6930,IR1,Lvl,Inside,Gtl,ClearCr,1Fam,SLvl,5,4,1958,1958,Hip,Wd Sdng,ImStucc,120.0,TA,TA,CBlock,TA,Av,BLQ,300,Other,468,1062,Ex,Y,Other,1352,0,1352,0,1,0,3,1,Gd,6,0,BuiltIn,1958.0,Unf,1,288,Y,168,0,294,WD,Abnorml,130000
359,60,RL,78.0,12011,IR1,Lvl,CulDSac,Gtl,NoRidge,1Fam,2Story,8,5,1998,1998,Gable,VinylSd,VinylSd,530.0,Gd,TA,PConc,Gd,Av,GLQ,956,Unf,130,1086,Ex,Y,SBrkr,1086,838,1924,1,2,1,3,1,Gd,7,1,Attchd,1998.0,RFn,2,592,Y,208,75,0,WD,Normal,280000
360,85,RL,69.0,7540,IR1,Lvl,CulDSac,Gtl,Mitchel,1Fam,SFoyer,6,6,1978,1978,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,Av,GLQ,773,Unf,115,888,Ex,Y,SBrkr,912,0,912,1,1,0,2,1,TA,5,1,Attchd,1978.0,RFn,2,470,Y,0,0,0,WD,Normal,156000
361,50,RL,69.0,9144,Reg,Lvl,Inside,Gtl,BrkSide,1Fam,1.5Fin,5,5,1940,1982,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,No,Rec,399,Unf,484,883,Gd,Y,SBrkr,988,517,1505,1,1,0,3,1,TA,8,0,Detchd,1940.0,Unf,1,240,N,0,0,0,WD,Normal,145000
362,85,RL,64.0,7301,Reg,Lvl,Corner,Gtl,Edwards,1Fam,SFoyer,7,5,2003,2003,Gable,HdBoard,HdBoard,500.0,Gd,TA,Slab,TA,No,Unf,0,Unf,0,0,Ex,Y,SBrkr,495,1427,1922,0,3,0,4,1,Gd,7,1,BuiltIn,2003.0,RFn,2,672,Y,0,0,177,Other,Normal,198500
363,160,RM,21.0,1680,Reg,Lvl,Inside,Gtl,BrDale,Twnhs,2Story,6,8,1972,2007,Gable,HdBoard,HdBoard,510.0,TA,TA,CBlock,TA,No,ALQ,162,Unf,321,483,Gd,Y,SBrkr,483,504,987,0,1,1,2,1,Gd,5,0,Detchd,1972.0,Unf,1,264,Y,250,0,0,WD,Normal,118000
364,60,RL,69.0,18800,IR1,Lvl,FR2,Gtl,NWAmes,1Fam,2Story,6,5,1976,1976,Gable,HdBoard,HdBoard,120.0,TA,TA,PConc,Gd,Mn,GLQ,712,Unf,84,796,TA,Y,SBrkr,790,784,1574,1,2,1,3,1,TA,6,1,Attchd,1976.0,Fin,2,566,Y,306,111,0,WD,Normal,190000
365,70,RM,59.0,10690,Reg,Lvl,Inside,Gtl,IDOTRR,1Fam,2Story,5,7,1920,1997,Hip,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,No,Rec,456,Unf,216,672,Gd,Y,FuseA,672,672,1344,0,1,0,3,1,TA,6,0,Detchd,1964.0,Unf,1,468,Y,0,128,218,WD,Normal,147000
366,20,RL,69.0,9500,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,1963,1963,Gable,Plywood,Plywood,247.0,TA,TA,CBlock,Gd,No,BLQ,609,Unf,785,1394,Gd,Y,SBrkr,1394,0,1394,1,1,1,3,1,TA,6,2,Attchd,1963.0,RFn,2,514,Y,0,76,0,WD,Normal,159000
367,80,RL,101.0,9150,IR1,Lvl,Corner,Gtl,NAmes,1Fam,SLvl,6,5,1962,1962,Gable,Plywood,Plywood,305.0,TA,TA,CBlock,Gd,Gd,GLQ,371,Unf,728,1099,Gd,Y,SBrkr,1431,0,1431,0,1,0,3,1,TA,6,1,Basment,1962.0,RFn,1,296,Y,64,110,0,WD,Normal,165000
368,20,RL,78.0,7800,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1954,1954,Gable,HdBoard,HdBoard,200.0,TA,TA,PConc,TA,No,LwQ,540,Unf,728,1268,Gd,Y,SBrkr,1268,0,1268,0,1,0,2,1,TA,7,1,Attchd,1954.0,Fin,1,244,Y,0,98,0,WD,Normal,132000
369,20,RL,69.0,9830,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,5,7,1959,2006,Gable,Wd Sdng,Wd Sdng,0.0,TA,Gd,CBlock,TA,No,ALQ,72,Other,733,1063,Ex,Y,SBrkr,1287,0,1287,1,1,0,3,1,Gd,7,1,Detchd,1997.0,Fin,2,576,Y,364,17,0,WD,Normal,162000
370,60,RL,69.0,8121,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,No,Unf,0,Unf,953,953,Ex,Y,SBrkr,953,711,1664,0,2,1,3,1,TA,7,1,Attchd,2000.0,RFn,2,460,Y,100,40,0,WD,Normal,172400
371,50,RL,80.0,17120,Reg,Lvl,Inside,Gtl,ClearCr,1Fam,1.5Fin,4,4,1959,1959,Gable,WdShing,Plywood,0.0,TA,TA,CBlock,TA,No,Unf,0,Unf,0,0,TA,Y,SBrkr,1120,468,1588,0,2,0,4,1,TA,7,1,Detchd,1991.0,Fin,2,680,N,0,59,0,WD,Normal,134432
372,120,RL,50.0,7175,Reg,Lvl,Inside,Gtl,SawyerW,TwnhsE,1Story,6,5,1984,1984,Gable,Plywood,Plywood,0.0,TA,TA,CBlock,Gd,No,ALQ,623,Other,0,744,TA,Y,SBrkr,752,0,752,1,1,0,2,1,TA,4,0,Attchd,1984.0,Unf,1,264,Y,353,0,0,WD,Normal,125000
373,20,RL,79.0,10634,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1953,1953,Gable,MetalSd,MetalSd,0.0,TA,TA,PConc,TA,No,BLQ,428,Other,0,608,TA,Y,SBrkr,1319,0,1319,1,1,0,3,1,TA,5,0,Attchd,1953.0,Unf,1,270,Y,66,0,0,WD,Normal,123000
374,60,RL,65.0,8200,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,2004,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,847,847,Ex,Y,SBrkr,847,1081,1928,0,2,1,4,1,Gd,8,1,BuiltIn,2003.0,Fin,2,434,Y,100,48,0,WD,Normal,219500
375,30,RL,69.0,10020,IR1,Low,Inside,Sev,Edwards,1Fam,1Story,1,1,1922,1950,Gable,Wd Sdng,Wd Sdng,0.0,Fa,Other,BrkTil,Fa,Gd,BLQ,350,Unf,333,683,Gd,N,FuseA,904,0,904,1,0,1,1,1,Fa,4,0,Attchd,2005.0,Unf,0,0,Y,0,0,0,WD,Normal,61000
376,85,RL,57.0,8846,IR1,Lvl,CulDSac,Gtl,CollgCr,1Fam,SFoyer,5,5,1996,1996,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Av,GLQ,298,Unf,572,870,Ex,Y,SBrkr,914,0,914,0,1,0,2,1,TA,5,0,Detchd,1998.0,Unf,2,576,Y,0,0,0,WD,Normal,148000
377,60,FV,102.0,11143,IR1,Lvl,Corner,Gtl,Somerst,1Fam,2Story,8,5,2004,2005,Gable,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,1580,1580,Ex,Y,SBrkr,1580,886,2466,0,3,0,4,1,Gd,8,1,Attchd,2004.0,RFn,2,610,Y,159,214,0,WD,Normal,340000
378,20,RL,88.0,11394,Reg,Lvl,Corner,Gtl,StoneBr,1Fam,1Story,9,2,2010,2010,Hip,VinylSd,VinylSd,350.0,Gd,TA,PConc,Ex,Av,GLQ,1445,Unf,411,1856,Ex,Y,SBrkr,1856,0,1856,1,1,1,1,1,Ex,8,1,Attchd,2010.0,Fin,3,834,Y,113,0,0,New,Partial,394432
379,60,RL,60.0,8123,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,16.0,TA,TA,PConc,Gd,No,Unf,0,Unf,982,982,Ex,Y,SBrkr,1007,793,1800,0,2,1,3,1,TA,7,1,Attchd,2000.0,Fin,2,463,Y,100,63,0,WD,Normal,179000
380,50,RL,50.0,5000,Reg,Lvl,Inside,Gtl,SWISU,1Fam,1.5Fin,5,6,1924,1950,Gable,BrkFace,Wd Sdng,0.0,TA,TA,BrkTil,TA,No,LwQ,218,Unf,808,1026,TA,Y,SBrkr,1026,665,1691,0,2,0,3,1,Gd,6,1,Detchd,1924.0,Unf,1,308,Y,0,0,242,WD,Normal,127000
381,20,FV,60.0,7200,Reg,Lvl,Inside,Gtl,Somerst,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,1293,1293,Ex,Y,SBrkr,1301,0,1301,1,2,0,2,1,Gd,5,1,Attchd,2006.0,RFn,2,572,Y,216,121,0,New,Partial,187750
382,60,RL,79.0,9245,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Av,Unf,0,Unf,939,939,Ex,Y,SBrkr,939,858,1797,0,2,1,3,1,Gd,8,0,Attchd,2006.0,RFn,2,639,Y,144,53,0,WD,Normal,213500
383,45,RH,60.0,9000,Reg,Lvl,Corner,Gtl,SawyerW,1Fam,1.5Unf,6,3,1928,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,Fa,No,Unf,0,Unf,784,784,TA,N,FuseA,784,0,784,0,1,0,2,1,TA,5,0,Detchd,1950.0,Unf,2,360,N,0,0,91,WD,Normal,76000
384,60,RL,69.0,53107,IR2,Low,Corner,Mod,ClearCr,1Fam,2Story,6,5,1992,1992,Gable,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,Av,GLQ,985,Unf,595,1580,Ex,Y,SBrkr,1079,874,1953,1,2,1,3,1,Gd,9,2,Attchd,1992.0,Fin,2,501,Y,216,231,0,WD,Normal,240000
385,120,RL,43.0,3182,Reg,Lvl,Inside,Gtl,Blmngtn,TwnhsE,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,16.0,Gd,TA,PConc,Gd,No,GLQ,24,Unf,1232,1256,Ex,Y,SBrkr,1269,0,1269,0,2,0,2,1,Gd,6,1,Attchd,2004.0,Fin,2,430,Y,146,20,0,WD,Normal,192000
386,50,RL,58.0,8410,Reg,Lvl,FR2,Gtl,Edwards,1Fam,1.5Fin,5,3,1910,1996,Gambrel,Wd Sdng,VinylSd,0.0,TA,Other,PConc,TA,No,Unf,0,Unf,658,658,TA,Y,SBrkr,658,526,1184,0,1,0,5,1,TA,8,0,Attchd,2005.0,Unf,0,0,N,0,151,0,WD,Other,81000
387,80,RL,72.0,7200,Reg,Lvl,Inside,Gtl,Edwards,1Fam,SLvl,6,6,1976,1976,Hip,MetalSd,MetalSd,255.0,TA,TA,CBlock,TA,Av,ALQ,631,Unf,410,1041,Ex,Y,SBrkr,1125,0,1125,1,1,0,3,1,TA,6,1,Detchd,1977.0,Unf,1,352,Y,296,0,0,WD,Abnorml,125000
388,20,RL,93.0,9382,IR1,Lvl,CulDSac,Gtl,CollgCr,1Fam,1Story,7,5,1999,2000,Gable,VinylSd,VinylSd,125.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,1468,1468,Ex,Y,SBrkr,1479,0,1479,0,2,0,3,1,Gd,6,0,Attchd,1999.0,RFn,2,577,Y,120,25,0,WD,Normal,191000
389,60,RL,96.0,12474,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,10,5,2007,2008,Gable,VinylSd,VinylSd,272.0,Ex,TA,PConc,Ex,Av,GLQ,1280,Unf,402,1682,Ex,Y,SBrkr,1742,590,2332,1,2,1,3,1,Ex,9,1,BuiltIn,2008.0,Fin,3,846,Y,196,134,0,New,Partial,426000
390,50,RL,50.0,8405,Reg,Lvl,Inside,Gtl,Edwards,1Fam,1.5Fin,5,8,1900,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,No,Rec,241,Other,229,861,Ex,Y,SBrkr,961,406,1367,1,1,0,4,1,TA,7,0,Detchd,1978.0,Unf,1,384,Y,0,130,112,WD,Normal,119000
391,60,RL,71.0,12209,IR1,Lvl,CulDSac,Gtl,Mitchel,1Fam,2Story,6,5,2001,2002,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Ex,No,ALQ,690,Unf,114,804,Ex,Y,SBrkr,804,1157,1961,1,2,1,3,1,Gd,7,1,BuiltIn,2001.0,Fin,2,560,Y,125,192,0,WD,Normal,215000
392,20,RL,69.0,8339,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,7,1959,1959,Gable,MetalSd,MetalSd,0.0,TA,TA,Slab,TA,No,Unf,0,Unf,0,0,TA,Y,SBrkr,882,0,882,0,1,0,3,1,TA,5,0,Attchd,1959.0,RFn,1,294,Y,0,0,0,WD,Normal,106500
393,30,RL,69.0,7446,Reg,Lvl,Corner,Gtl,BrkSide,1Fam,1Story,4,5,1941,1950,Gable,WdShing,Wd Shng,0.0,TA,TA,CBlock,TA,No,Rec,266,Unf,522,788,TA,Y,FuseA,788,0,788,0,1,0,2,1,TA,4,2,Attchd,2005.0,Unf,0,0,Y,0,0,0,WD,Abnorml,100000
394,50,RL,60.0,10134,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,5,6,1940,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,No,Unf,0,Unf,735,735,Gd,Y,FuseA,735,299,1034,0,1,0,2,1,TA,5,0,Detchd,1940.0,Unf,1,240,Y,0,39,0,WD,Normal,109000
395,20,RL,68.0,9571,Reg,Lvl,Inside,Gtl,Edwards,1Fam,1Story,5,6,1956,1956,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,Av,BLQ,739,Unf,405,1144,TA,Y,SBrkr,1144,0,1144,1,1,0,3,1,TA,6,0,Attchd,1956.0,Unf,1,596,Y,44,0,0,WD,Normal,129000
396,20,RL,60.0,7200,Reg,Low,Inside,Gtl,CollgCr,1Fam,1Story,5,5,1972,1972,Hip,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,Av,Rec,777,Unf,117,894,TA,Y,SBrkr,894,0,894,0,1,0,2,1,TA,6,0,Detchd,1985.0,RFn,2,600,Y,215,0,0,WD,Normal,123000
397,60,RL,69.0,7590,Reg,Lvl,Inside,Gtl,NAmes,1Fam,2Story,5,5,1962,1962,Gable,VinylSd,VinylSd,288.0,TA,TA,CBlock,TA,No,ALQ,540,Unf,324,864,TA,Y,SBrkr,876,936,1812,0,2,0,4,1,TA,8,1,Attchd,1962.0,RFn,1,264,Y,0,168,0,WD,Normal,169500
398,30,RM,60.0,8967,Reg,Lvl,Corner,Gtl,IDOTRR,1Fam,1Story,5,2,1920,1950,Gable,MetalSd,MetalSd,0.0,TA,Other,BrkTil,Fa,No,Unf,0,Unf,961,961,Gd,Y,Other,1077,0,1077,0,1,0,2,1,TA,6,0,Detchd,1920.0,Unf,1,338,N,0,0,0,WD,Abnorml,67000
399,60,FV,65.0,8125,Reg,Lvl,Inside,Gtl,Somerst,1Fam,2Story,7,5,2006,2007,Gable,CemntBd,CmentBd,100.0,Gd,TA,PConc,Gd,No,GLQ,812,Unf,280,1092,Ex,Y,SBrkr,1112,438,1550,1,2,0,2,1,Gd,7,0,Attchd,2007.0,Fin,2,438,Y,0,168,0,WD,Normal,241000
400,120,RL,38.0,14963,IR2,Lvl,Inside,Gtl,Veenker,TwnhsE,1Story,8,5,1996,1996,Gable,BrkFace,BrkFace,0.0,Gd,TA,PConc,Gd,No,GLQ,786,Unf,474,1260,Ex,Y,SBrkr,1288,0,1288,1,1,1,1,1,Ex,4,2,Attchd,1996.0,Fin,2,500,Y,120,30,0,WD,Normal,245500
401,20,RL,65.0,8767,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Av,GLQ,24,Unf,1286,1310,Ex,Y,SBrkr,1310,0,1310,0,2,0,3,1,Gd,6,1,Attchd,2005.0,Fin,2,400,Y,0,0,0,New,Partial,164990
402,30,RL,60.0,10200,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1940,1997,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,No,Unf,0,Unf,672,672,Ex,Y,SBrkr,672,0,672,0,1,0,2,1,TA,4,0,Detchd,1940.0,Unf,1,240,N,168,0,0,WD,Normal,108000
403,60,RL,93.0,12090,Reg,Lvl,Corner,Gtl,NoRidge,1Fam,2Story,8,5,1998,1998,Hip,VinylSd,VinylSd,650.0,Gd,TA,PConc,Gd,No,Unf,0,Unf,1141,1141,Gd,Y,SBrkr,1165,1098,2263,0,2,1,4,1,Gd,10,1,BuiltIn,1998.0,Fin,2,420,Y,144,123,0,WD,Abnorml,258000
404,60,RL,69.0,10364,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,2Story,6,5,1995,1996,Gable,MetalSd,MetalSd,0.0,TA,TA,PConc,Gd,No,Unf,0,Unf,806,806,Gd,Y,SBrkr,806,766,1572,0,2,1,3,1,TA,7,1,BuiltIn,1995.0,Fin,2,373,Y,0,40,0,WD,Normal,168000
405,20,RL,69.0,9991,IR1,Lvl,Corner,Gtl,Sawyer,1Fam,1Story,4,4,1976,1993,Gable,Plywood,Plywood,0.0,TA,TA,CBlock,TA,No,BLQ,1116,Unf,165,1281,Ex,Y,SBrkr,1620,0,1620,1,2,0,3,1,TA,8,1,Attchd,1993.0,Unf,2,490,Y,120,78,0,WD,Normal,150000
406,50,RL,51.0,10480,Reg,Lvl,Inside,Gtl,SWISU,1Fam,1.5Fin,6,5,1936,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,1064,1064,Ex,Y,FuseA,1166,0,1639,0,1,0,3,1,TA,6,0,Detchd,1936.0,Unf,1,240,Y,0,0,0,WD,Normal,115000
407,70,RL,63.0,15576,Reg,Lvl,Inside,Gtl,Crawfor,1Fam,2Story,6,7,1915,1976,Gable,Wd Sdng,Plywood,0.0,TA,TA,BrkTil,Gd,No,Unf,0,Unf,840,840,Ex,Y,SBrkr,840,840,1680,0,2,0,4,1,TA,8,0,Attchd,1960.0,Unf,1,308,Y,0,0,160,WD,Normal,177000
408,60,RL,109.0,14154,Reg,Lvl,Corner,Gtl,NridgHt,1Fam,2Story,7,5,2006,2006,Gable,VinylSd,VinylSd,350.0,Gd,TA,PConc,Ex,No,Unf,0,Unf,1063,1063,Ex,Y,SBrkr,1071,1101,2172,0,2,1,3,1,Gd,9,1,Attchd,2006.0,RFn,3,947,Y,192,62,0,New,Partial,280000
409,60,FV,85.0,10800,Reg,Lvl,Inside,Gtl,Somerst,1Fam,2Story,8,5,2007,2008,Gable,VinylSd,VinylSd,100.0,Gd,TA,PConc,Ex,No,GLQ,789,Unf,245,1034,Ex,Y,SBrkr,1050,1028,2078,1,2,1,3,1,Ex,8,1,Attchd,2008.0,Fin,3,836,Y,0,102,0,New,Partial,339750
410,20,RL,68.0,9571,Reg,Lvl,Inside,Gtl,Edwards,1Fam,1Story,5,3,1958,1958,Gable,BrkComm,Brk Cmn,0.0,TA,Other,CBlock,TA,No,Unf,0,Unf,1276,1276,TA,Y,FuseA,1276,0,1276,0,1,0,3,1,TA,5,0,Attchd,1958.0,Unf,1,350,Y,0,0,0,Other,Abnorml,60000
411,190,RL,100.0,34650,Reg,Bnk,Inside,Gtl,Gilbert,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,Mn,Rec,1056,Unf,0,1056,TA,N,SBrkr,1056,0,1056,1,1,0,3,1,TA,5,0,Attchd,1955.0,Fin,2,572,Y,264,0,0,WD,Normal,145000
412,20,FV,69.0,4403,IR2,Lvl,Inside,Gtl,Somerst,1Fam,1Story,7,5,2009,2009,Gable,MetalSd,MetalSd,432.0,Ex,TA,PConc,Ex,Av,GLQ,578,Unf,892,1470,Ex,Y,SBrkr,1478,0,1478,1,2,1,2,1,Gd,7,1,Attchd,2009.0,Fin,2,484,Y,0,144,0,New,Partial,222000
413,30,RM,56.0,8960,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1Story,5,6,1927,1950,Gable,WdShing,Wd Shng,0.0,TA,TA,CBlock,TA,No,Unf,0,Unf,1008,1008,Gd,Y,FuseA,1028,0,1028,0,1,0,2,1,TA,5,1,Detchd,1927.0,Unf,2,360,Y,0,0,130,WD,Normal,115000
